date,open,high,low,close,volume,adj_close,200_dma,200_dma_pct_diff,200_dma_top_band,200_dma_bot_band,60_dma,60_dma_pct_diff,60_dma_top_band,60_dma_bot_band,20_dma,20_dma_pct_diff,20_dma_top_band,20_dma_bot_band,200_vma,200_vma_pct_diff,200_vma_top_band,200_vma_bot_band,60_vma,60_vma_pct_diff,60_vma_top_band,60_vma_bot_band,20_vma,20_vma_pct_diff,20_vma_top_band,20_vma_bot_band
2010-02-18,2223.22,2243.50,2221.14,2241.71,2076820000,2241.71,2037.50,0.10,2139.37,1935.62,2218.22,0.01,2329.13,2107.31,2188.47,0.02,2297.90,2079.05,2198215200.00,-0.06,2308125960.00,2088304440.00,2078109666.67,-0.00,2182015150.00,1974204183.33,2426046500.00,-0.14,2547348825.00,2304744175.00
2010-02-17,2222.87,2226.32,2212.78,2226.29,2103530000,2226.29,2034.96,0.09,2136.71,1933.21,2217.66,0.00,2328.55,2106.78,2193.18,0.02,2302.84,2083.52,2198527200.00,-0.04,2308453560.00,2088600840.00,2076221166.67,0.01,2180032225.00,1972410108.33,2423134500.00,-0.13,2544291225.00,2301977775.00
2010-02-16,2200.38,2214.19,2189.18,2214.19,2072850000,2214.19,2032.48,0.09,2134.10,1930.85,2217.49,-0.00,2328.37,2106.62,2196.87,0.01,2306.71,2087.03,2202519450.00,-0.06,2312645422.50,2092393477.50,2073127666.67,-0.00,2176784050.00,1969471283.33,2451380500.00,-0.15,2573949525.00,2328811475.00
2010-02-12,2157.69,2184.57,2151.99,2183.53,2236180000,2183.53,2030.12,0.08,2131.63,1928.61,2217.73,-0.02,2328.62,2106.84,2203.53,-0.01,2313.71,2093.35,2203267150.00,0.01,2313430507.50,2093103792.50,2070941666.67,0.08,2174488750.00,1967394583.33,2452280000.00,-0.09,2574894000.00,2329666000.00
2010-02-11,2145.09,2179.54,2134.14,2177.41,2141260000,2177.41,2027.60,0.07,2128.98,1926.22,2217.57,-0.02,2328.45,2106.69,2210.05,-0.01,2320.56,2099.55,2202962900.00,-0.03,2313111045.00,2092814755.00,2066524333.33,0.04,2169850550.00,1963198116.67,2461134500.00,-0.13,2584191225.00,2338077775.00
2010-02-10,2147.46,2156.36,2131.08,2147.87,2059940000,2147.87,2025.26,0.06,2126.52,1924.00,2217.59,-0.03,2328.47,2106.71,2216.78,-0.03,2327.61,2105.94,2203681700.00,-0.07,2313865785.00,2093497615.00,2069064833.33,-0.00,2172518075.00,1965611591.67,2476553500.00,-0.17,2600381175.00,2352725825.00
2010-02-09,2153.10,2166.16,2132.58,2150.87,2296420000,2150.87,2022.98,0.06,2124.13,1921.83,2217.86,-0.03,2328.75,2106.96,2224.85,-0.03,2336.10,2113.61,2204935350.00,0.04,2315182117.50,2094688582.50,2061654333.33,0.11,2164737050.00,1958571616.67,2465627000.00,-0.07,2588908350.00,2342345650.00
2010-02-08,2140.10,2152.64,2125.11,2126.05,2036280000,2126.05,2020.61,0.05,2121.64,1919.58,2218.27,-0.04,2329.19,2107.36,2234.41,-0.05,2346.13,2122.69,2207071450.00,-0.08,2317425022.50,2096717877.50,2061003666.67,-0.01,2164053850.00,1957953483.33,2471082500.00,-0.18,2594636625.00,2347528375.00
2010-02-05,2131.92,2142.27,2100.17,2141.12,2811100000,2141.12,2018.13,0.06,2119.04,1917.23,2218.49,-0.03,2329.41,2107.57,2242.36,-0.05,2354.47,2130.24,2206303350.00,0.27,2316618517.50,2095988182.50,2047563666.67,0.37,2149941850.00,1945185483.33,2444030000.00,0.15,2566231500.00,2321828500.00
2010-02-04,2176.39,2178.25,2125.43,2125.43,2801390000,2125.43,2015.73,0.05,2116.51,1914.94,2218.27,-0.04,2329.19,2107.36,2251.14,-0.06,2363.69,2138.58,2204411350.00,0.27,2314631917.50,2094190782.50,2031359666.67,0.38,2132927650.00,1929791683.33,2416627500.00,0.16,2537458875.00,2295796125.00
2010-02-03,2181.01,2194.53,2176.75,2190.91,2303350000,2190.91,2012.81,0.09,2113.45,1912.17,2216.85,-0.01,2327.69,2106.00,2257.03,-0.03,2369.88,2144.18,2208203850.00,0.04,2318614042.50,2097793657.50,2029798666.67,0.13,2131288600.00,1928308733.33,2419853000.00,-0.05,2540845650.00,2298860350.00
2010-02-02,2171.66,2193.66,2161.47,2190.06,2468470000,2190.06,2010.23,0.09,2110.74,1909.72,2214.60,-0.01,2325.33,2103.87,2262.95,-0.03,2376.09,2149.80,2207953700.00,0.12,2318351385.00,2097556015.00,2025616166.67,0.22,2126896975.00,1924335358.33,2392998500.00,0.03,2512648425.00,2273348575.00
